name;main_category;ratings;no_of_ratings;discount_price;actual_price;;;;;;;;
Tucson BLACK MESSY PU; PVC Football;Football;https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/714t+hp1-PL._AC_UL320_.jpg;https://www.amazon.in/Tucson-Hand-Sewn-Football-Size_5_Black/dp/B07N1Q5MDY/ref=sr_1_1218?qid=1679217174&s=sports&sr=1-1218;3.6;209;₹549;₹999;;;;;
Skull Sports Industries Color Molded Football Size 3 - Green (Material: Rubber);sports & fitness;;;₹309;₹999;;;;;;;;
Jockey Women's Cotton Shorts (Pack of 1) (SS04_Paradise Teal_Medium_Teal_M);sports & fitness;3.5;25;₹245;₹249;;;;;;;;
Jockey Men's Cotton Thermal Set (Top & Bottom Both; Black);https://www.amazon.in/Jockey-Cotton-Thermal-Bottom-Medium/dp/B0BHDHJFVT/ref=sr_1_1221_mod_primary_new?qid=1679217174&s=sports&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-1221;4.4;9;₹1,399;₹1,699;;;;;;;
Max Boys Solid Full-Length Joggers;sports & fitness;3.8;24;₹269;₹549;;;;;;;;
THE BOTTOM STORE Men's Cotton Casual Shorts | (Pack of 3);sports & fitness;3.4;276;₹599;₹999;;;;;;;;
berge' Men Cotton Polyester Comfy Regular Fit Sports Quality Track Pants with Secure Zipper Pocket; Casual Wear Lower Trac...;https://www.amazon.in/Berge-Polyester-Cotton-Track-KP10NAVYXXXXL_Navy_XXXX-Large/dp/B01G3HYPHC/ref=sr_1_1224?qid=1679217174&s=sports&sr=1-1224;4.0;117;;₹1,395;;;;;;;
T2F Boys Regular Fit Pyjama Bottom(Bystrk07-3P_Black-Blue-Grey_2 Years-3 Years) Pyjama Bottom Wear;sports & fitness;4.0;51;₹217.07;₹1,200;;;;;;;;
CHKOKKO Women Casual Summer Track Suit T-shirt Trackpant Co-ord Set;sports & fitness;4.4;34;₹999;₹3,749;;;;;;;;
Shivay Inflating Needle PIN Nozzle Basketball/Football Ball AIR Pump;sports & fitness;5.0;1;₹67;₹300;;;;;;;;
Fusefit womens Tracksuit;sports & fitness;3.3;9;₹1,179;₹3,299;;;;;;;;
Alan Jones Clothing Printed Boys Joggers Track Pant;sports & fitness;4.3;234;₹399;₹1,099;;;;;;;;
Trendy Dukaan Track Pant for Boys & Girls/Kids Smart Joggers;sports & fitness;4.1;340;₹940.50;₹1,299;;;;;;;;
CHKOKKO Men Winter Track Suit Cotton Fleece Hooded Zipper;sports & fitness;3.8;244;₹599;₹5,999;;;;;;;;
PUMA Cushioned Sport Unisex Quarter Socks Pack of 3;sports & fitness;;;;₹599;;;;;;;;
Mayor Fury Goalkeeper Edition Gloves with Microbe-Guard (Sizes 6-11; 8 Styles;https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71dGH1kNgWL._AC_UL320_.jpg;https://www.amazon.in/Mayor-Goalkeeper-Gloves-Microbe-Guard-Protection/dp/B0B8SNFMNJ/ref=sr_1_1521?qid=1679217179&s=sports&sr=1-1521;1.0;1;₹975;₹1,085;;;;;;
Oneten Qatar Hand Stitched Rubber Football Size 5;sports & fitness;;;₹450;₹799;;;;;;;;
SOUTH TREE Boy's Regular Fit Trackpants (Pack of 3);sports & fitness;4.1;834;₹649;₹1,707;;;;;;;;
Jockey Men's Slim Track Pant;sports & fitness;4.5;8;;₹1,499;;;;;;;;
Forest Club Shorts for Men | Light Weight | Casual Wear | Sports Shorts | Quick-Dry Technology with Ultra Cooling Fabric |...;sports & fitness;3.8;2,81;₹399;₹575;;;;;;;;
MT SportsCLUB Combo City + CR-7 Football with AIR Pump Football - Size: 5 (Pack of 2; Multicolor);https://www.amazon.in/SportsCLUB-Combo-City-CR-7-Football/dp/B09FY4FSS6/ref=sr_1_1526?qid=1679217179&s=sports&sr=1-1526;3.8;15;₹949;₹1,499;;;;;;;
Max Women's Printed Elasticated Pyjamas;sports & fitness;4.0;23;;₹499;;;;;;;;
Qiddo Sports Girls' T-Shirt;sports & fitness;4.2;29;₹560;₹800;;;;;;;;
Fila Women's Regular Pants;sports & fitness;4.0;2;₹879;₹1,599;;;;;;;;
